,.,,,,,,,,,,,,,,,,,,,,,,,,,
Clients:,Client Prioritization,Weeks, Weeks Num ,Creative Output,Design Output,Strategy & Planning Output,Media Output,Creator Output,Social Output,Studio Output,Sponsorship Output,Roles,Allocations,%,Hrs/Week,,,,,,,,,,,
ABI,Category 1 - Foundational, -   , -   ,PLANNING,PLANNING,STRATEGY - PLANNING,PLANNING,PLANNING,PLANNING,PLANNING,PLANNING,"EVP/SVP, Creative", -   ,0%, -   ,,,,,,,,,,,
adidas,Category 3 - Prospective Growth,1 Weeks, 1 ,NA,NA,NA,NA,NA,NA,NA,NA,Executive Creative Director,1/2 Day/Wk (10%),10%, 4.00 ,,,,,,,,,,,
Bell,Category 5 - Baseline Booster,2 Weeks, 2 ,"Level 1 Tissue - 3 Concepts (Lead in, Overview, Tactics 1 Pager)",Level 1 Tissue - Moodboards Only per Concept,Level 1,Level 1 - Strategic Outline,"Level 1 Connections Lite - 1 pager strategy overview, niche recommendations",Level 1,Level 1,Level 1,Group Creative Director,1 Day/Wk (20%),20%, 8.00 ,,,,,,,,,,,
Coca Cola,Category 1 - Foundational,3 Weeks, 3 ,"Level 2 Tissue - 5 Concepts (Lead in, Overview, Tactics 1 Pager)","Level 2 Tissue - AI Generated Imagery, Light Touch Ups per Concept",Level 2,Level 2 - Strategic Outline + Media Strategy,"Level 2 Connections Lite - What we heard, what we know, strategy overview (our way in), creator niche recommendations, sample brand pod",Level 2,Level 2,Level 2,Creative Director,1.5  Day/Wk (30%),30%, 12.00 ,,,,,,,,,,,
Ethos Pet,Category 4 - Service Anchors,4 Weeks, 4 ,"Level 3 Tissue- 7 Concepts (Lead in, Overview, Tactics 1 Pager)",Level 3 Tissue- Full Concept Design per Concept,Level 3,"Level 3 - Full Connections Lite, Audience Strategy + Media Strategy","Level 3 Connections Lite - What we heard, what we know, strategy overview (our way in), creator niche recommendations, sample brand pod, sample paid creator selects (1 per niche)",Level 3,Level 3,Level 3,Associate Creative Director,2 Day/Wk (40%),40%, 16.00 ,,,,,,,,,,,
Hershey,Category 3 - Prospective Growth,5 Weeks, 5 ,,,,,,,,,Conceptor,2.5 Day/Wk (50%),50%, 20.00 ,,,,,,,,,,,
Holman,Category 4 - Service Anchors,6 Weeks, 6 ,NA,NA,NA,NA,NA,NA,NA,NA,Copywriter,3 Day/Wk (60%),60%, 24.00 ,,,,,,,,,,,
KFC,Category 5 - Baseline Booster,7 Weeks, 7 ,Level 1 Refined  - ,Level 1 Refined  - ,Level 1 ,"Level 1 - Connections Strategy, Audience Strategy + Media Details (1 presentation)","Level 1 Connections Deep - our way in/strategy overview, confirmed niches, target selection criteria, 1-2x paid creator recommendations per niche, high-level content matrix",Level 1,Level 1,Level 1,,3.5 Day/Wk (70%),70%, 28.00 ,,,,,,,,,,,
Kraft Heinz,Category 1 - Foundational,8 Weeks, 8 ,Level 2 Refined - ,Level 2 Refined - ,Level 2,"Level 2 - Connection Strategy, Audience Stratgy  + Media (2nd presentation after feedback)","Level 2  Connections Deep - our way in/strategy overview, GTBB statement, confirmed niches, target selection criteria, 2-3 paid creator top-selects per niche, 2-3x backup creator selects per niche, content pillars, content matrix, sample earned mailer ideation, blocking chart",Level 2,Level 2,Level 2,"VP, Design",4 Day/Wk (80%),80%, 32.00 ,,,,,,,,,,,
La Canadienne,Category 5 - Baseline Booster,9 Weeks, 9 ,Level 3  Refined - ,Level 3  Refined - ,Level 3 ,Level 3 - Full cMedia Audit + Connections Deep.  2-3 Presentations depending on feedback,"Level 3  Connections Deep - our way in/strategy overview, GTBB statement, confirmed niches, target selection criteria, 3-4+ paid creator top-selects per niche, 5-10 backup creator selects per niche, content pillars, content matrix, example content, sample earned mailer ideation + digital imagery, blocking chart",Level 3,Level 3,Level 3,Sr 3D Designer,4.5 Day/Wk (90%),90%, 36.00 ,,,,,,,,,,,
Labatt,Category 1 - Foundational,10 Weeks, 10 ,,,,,,,,,3D Designer,5 Day/Wk (100%),100%, 40.00 ,,,,,,,,,,,
Lindt,Category 5 - Baseline Booster,11 Weeks, 11 ,NA,NA,NA,,,NA,NA,NA,Sr Design Director,,,,,,,,,,,,,,
Luxe Brands,Category 4 - Service Anchors,12 Weeks, 12 ,Level 1 Detailed - ,Level 1 Detailed - ,Level 1,,,Level 1,Level 1,Level 1,Design Director,,,,,,,,,,,,,,
Mars,Category 3 - Prospective Growth,13 Weeks, 13 ,Level 2 Detailed - ,Level 2 Detailed - ,Level 2,,,Level 2,Level 2,Level 2,Asc Design Director,,,,,,,,,,,,,,
McCain,Category 2 - Core Partners,14 Weeks, 14 ,Level 3 Detailed - ,Level 3 Detailed - ,Level 3,,,Level 3,Level 3,Level 3,Sr Designer,,,,,,,,,,,,,,
Mercedes,Category 5 - Baseline Booster,15 Weeks, 15 ,,,,,,,,,Designer,,,,,,,,,,,,,,
Microsoft,Category 2 - Core Partners,16 Weeks, 16 ,NA,NA,NA,,,NA,NA,NA,,,,,,,,,,,,,,,
PointsBet,Category 2 - Core Partners,17 Weeks, 17 ,Level 1 Final  - ,Level 1 Final  - ,Level 1,,,Level 1,Level 1,Level 1,"VP, Strategic Planning",,,,,,,,,,,,,,
RBC,Category 1 - Foundational,18 Weeks, 18 ,Level 2 Final - ,Level 2 Final - ,Level 2,,,Level 2,Level 2,Level 2,Sr Director Strategic Planning,,,,,,,,,,,,,,
Rogers,Category 1 - Foundational,19 Weeks, 19 ,Level 3  Final - ,Level 3  Final - ,Level 3,,,Level 3,Level 3,Level 3,Director Strategic Planning ,,,,,,,,,,,,,,
Rona,Category 4 - Service Anchors,20 Weeks, 20 ,,,,,,,,,Sr Strategist,,,,,,,,,,,,,,
Sephora,Category 2 - Core Partners,21 Weeks, 21 ,PRODUCTION,PRODUCTION,PLANNER - PLANNING,PRODUCTION,PRODUCTION,PRODUCTION,PRODUCTION,PRODUCTION,Sr Planner ,,,,,,,,,,,,,,
Shopify,Category 2 - Core Partners,22 Weeks, 22 ,NA,NA,NA,NA,NA,NA,NA,NA,Strategist,,,,,,,,,,,,,,
Toyota Lexus,Category 2 - Core Partners,23 Weeks, 23 ,Level 1,Level 1,Level 1 - Brief Triage & Barrier Identification,Level 1 - Bi-Weekly Status & Ongoing Optimization,"Level 1 - Weekly email status comms, 1 round of creator select reviews, ongoing creator comms/management, WBS development & tracking, 1 round of concept reviews, 1 round of content reviews, live content tracking & monitoring, earned address tracking (mailers only)",Level 1,Level 1,Level 1,Planner,,,,,,,,,,,,,,
Unilever,Category 3 - Prospective Growth,24 Weeks, 24 ,Level 2,Level 2,"Level 2 - Brief Triage, Barrier Identification, Connections Model Identification","Level 2 - Weekly Status, Ongoing Optimization & Management of 3-4 ad hoc client requests per quarter","Level 2 - Bi-Weekly Status Meetings, 2 rounds of creator select reviews, ongoing creator comms/management, WBS development & tracking, 1 round of concept reviews, 2 rounds of content reviews, live content tracking & monitoring, earned address tracking (mailers only), earned mailer production support, on-site support (1 member)",Level 2,Level 2,Level 2,,,,,,,,,,,,,,,
VISA,Category 3 - Prospective Growth,25 Weeks, 25 ,Level 3,Level 3,Level 3 - Full Connections Lite including Connections Strategy,"Level 3 - Weekly Status, Ongoing Optimization & On Call management of ad hoc client requests","Level 3 - Weekly status meetings, 3 rounds of creator select reviews, ongoing creator comms/management, WBS development & tracking, 2 rounds of concept reviews, 2-3 rounds of content reviews (including live client reviews), live content tracking & monitoring, earned address tracking (mailers only), end-to-end earned mailer execution, on-site support (2 members)",Level 3,Level 3,Level 3,"VP, Media",,,,,,,,,,,,,,
Welch's,Category 4 - Service Anchors,26 Weeks, 26 ,,,,,,,,,Senior Director Media,,,,,,,,,,,,,,
,,27 Weeks, 27 ,NA,NA,NA,1 - 2 products/campaigns,,NA,NA,NA,Director Media - Strategy,,,,,,,,,,,,,,
,,28 Weeks, 28 ,Level 1,Level 1,Level 1 - Evolved Connections Strategy to complement Creative,2 - 4 products/campaigns,,Level 1,Level 1,Level 1,Director Media - SEM,,,,,,,,,,,,,,
,,29 Weeks, 29 ,Level 2,Level 2,Level 2 - Connections Lite,4 - 7 products/campaigns,,Level 2,Level 2,Level 2,Director Media - Retail,,,,,,,,,,,,,,
,,30 Weeks, 30 ,Level 3,Level 3,Level 3 - Multi discipline Connections Lite,7 - 10 products/campaigns,,Level 3,Level 3,Level 3,Supervisor Media,,,,,,,,,,,,,,
,,31 Weeks, 31 ,,,,10+ products/campaigns,,,,,Manager Media,,,,,,,,,,,,,,
,,32 Weeks, 32 ,,,NA,,POST PRODUCTION,POST PRODUCTION,POST PRODUCTION,POST PRODUCTION,Media Executive,,,,,,,,,,,,,,
,,33 Weeks, 33 ,,,Level 1,POST PRODUCTION,NA,NA,NA,NA,Media Coordinator,,,,,,,,,,,,,,
,,34 Weeks, 34 ,POST PRODUCTION,POST PRODUCTION,Level 2 - Connections Deep,NA,"Level 1 - 1 Pager with high-level results, top-performing content, 1 program insight/recommendation",Level 1,Level 1,Level 1,,,,,,,,,,,,,,,
,,35 Weeks, 35 ,NA,NA,Level 3 - Connections Deep + Measurement,Level 1 - Bi Weekly Performance Meetings + Live Dashboard,"Level 2 - Standard Final Wrap Report - 1 pager results overview, breakdown of results by: platform, UGC/earned vs. paid, top-performing content, earned mailer overview and results, 3 program insights + recommendations",Level 2,Level 2,Level 2,"VP, Studio",,,,,,,,,,,,,,
,,36 Weeks, 36 ,Level 1,Level 1,,Level 2 - Weekly Reporting Meetings + Live Dashboard & Weekly Snapshot,"Level 3 - Full Deep Dive Wrap Report - 1 pager results overview, breakdown of results by: platform, UGC/earned vs. paid, top-performing content, lowest-performing content, earned mailer overview, 3 creative/content insights and recommendations, 3 creator/niche insights and recommendations, appendix with all live content links, specific results by creator, full imagery of all earned & paid content",Level 3,Level 3,Level 3,Head of Production,,,,,,,,,,,,,,
,,37 Weeks, 37 ,Level 2,Level 2,NA,"Level 3 - Weekly Reporting Meetings, Live Dashboard, Weekly Snapshot H1 & H2 Reporting Deep Dives",,,,,Sr Producer,,,,,,,,,,,,,,
,,38 Weeks, 38 ,Level 3,Level 3,Level 1 - Refinements,,,,,,Producer,,,,,,,,,,,,,,
,,39 Weeks, 39 ,,,Level 2 - Refinements + Measurement,,,,,,Sr Editor,,,,,,,,,,,,,,
,,40 Weeks, 40 ,NA,NA,Level 3,,,,,,Editor,,,,,,,,,,,,,,
,,41 Weeks, 41 ,Level 1,Level 1,,,,,,,Colourist,,,,,,,,,,,,,,
,,42 Weeks, 42 ,Level 2,Level 2,PRODUCTION - STRATEGY,,,,,,Animator,,,,,,,,,,,,,,
,,43 Weeks, 43 ,Level 3,Level 3,NA,,,,,,Post Production,,,,,,,,,,,,,,
,,44 Weeks, 44 ,,,Level 1,,,,,,Production Coordinator,,,,,,,,,,,,,,
,,45 Weeks, 45 ,NA,NA,Level 2,,,,,,,,,,,,,,,,,,,,
,,46 Weeks, 46 ,Level 1,Level 1,Level 3,,,,,,"VP, Social & Creator",,,,,,,,,,,,,,
,,47 Weeks, 47 ,Level 2,Level 2,,,,,,,"MD, Social & Creator",,,,,,,,,,,,,,
,,48 Weeks, 48 ,Level 3,Level 3,,,,,,,"Director, Creator",,,,,,,,,,,,,,
,,49 Weeks, 49 ,,,PRODUCTION - PLANNER,,,,,,"Supervisor, Creator",,,,,,,,,,,,,,
,,50 Weeks, 50 ,,,NA,,,,,,"Manager, Creator",,,,,,,,,,,,,,
,,51 Weeks, 51 ,,,Level 1 - Join client update calls and strategize Execution evolutions to adhere to Connections Strategy,,,,,,"Specialist, Creator",,,,,,,,,,,,,,
,,52 Weeks, 52 ,,,Level 2 - Join client and IAT calls to ensure accountability to Connections Plan,,,,,,"Coordinator, Creator",,,,,,,,,,,,,,
,,,,,,Level 3- Join client and IAT calls; liaise with other agencies across workstreams,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"VP, Social & Creator",,,,,,,,,,,,,,
,,,,,,POST PRODUCTION - PLANNER,,,,,,"MD, Social & Creator",,,,,,,,,,,,,,
,,,,,,NA,,,,,,"Director, Social",,,,,,,,,,,,,,
,,,,,,Level 1 - Outline and support completion of wrap report,,,,,,"Supervisor, Social",,,,,,,,,,,,,,
,,,,,,Level 2 - Lead completion of wrap report and measurement calculation,,,,,,"Manager, Social",,,,,,,,,,,,,,
,,,,,,Level 3,,,,,,"Specialist, Social",,,,,,,,,,,,,,
,,,,,,,,,,,,"Coordinator, Social",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Senior Director, Sponsorship",,,,,,,,,,,,,,
,,,,,,,,,,,,"Manager, Sponsorship",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,