Department,Roles,Labatt,RBC,Blended,,,
Accounts,Account Coordinator,125,75,165,,,
Accounts,Account Executive,125,75,165,,,
Accounts,Account Manager,125,75,165,,,
Accounts,Account Supervisor,125,75,165,,,
Accounts,Production Coordinator,125,75,165,,,
Accounts,Production Executive,125,75,165,,,
Accounts,Production Manager,125,75,165,,,
Accounts,Production Supervisor,125,75,165,,,
Accounts,Production Director,125,75,165,,,
Accounts,Sr. Production Director,125,75,165,,,
Accounts,Account Director,125,75,165,,,
Accounts,Senior Account Director,125,75,165,,,
Accounts,Managing Director,125,75,165,,,
Accounts,Vice President,125,75,165,,,
Accounts,Sr Vice President,125,75,165,,,
Accounts,Executive Vice President,125,75,165,,,
Design,Design Director,125,75,165,,,
Design,Sr. Design Director,125,75,165,,,
Design,"VP, Design",125,75,165,,,
Design,3D Designer,125,75,165,,,
Design,Sr 3D Designer,125,75,165,,,
Design,Associate 3d Design Director,125,75,165,,,
Design,3D Design Director,125,75,165,,,
Creative,Copywriter,125,75,165,,,
Creative,Conceptor,125,75,165,,,
Creative,Associate Creative Director,125,75,165,,,
Creative,Creative Director,125,75,165,,,
Creative,Group Creative Driector,125,75,165,,,
Creative,Executive Creative Director,125,75,165,,,
Creative,"SVP, Creative",125,75,165,,,
Studio,Producer,125,75,165,,,
Studio,Sr Producer,125,75,165,,,
Studio,Editor,125,75,165,,,
Studio,Sr Editor,125,75,165,,,
Studio,Animator,125,75,165,,,
Studio,Colorist,125,75,165,,,
Studio,Production Coordinator,125,75,165,,,
Studio,Post Production Lead,125,75,165,,,
Studio,Head of Production,125,75,165,,,
Studio,"VP, Studio",125,75,165,,,
Strategic Planning,"VP, Strategy & Planning",125,75,165,,,
Strategic Planning,"Sr Director, Strategy / Planning",125,75,165,,,
Strategic Planning,"Director, Strategy / Planning",125,75,165,,,
Strategic Planning,Sr Strategist / Planner,125,75,165,,,
Strategic Planning,Strategist / Planner,125,75,165,,,
Strategic Planning,Jr Strategist / Planner,125,75,165,,,
Omni Shopper,"MD, Shopper",125,75,165,,,
Omni Shopper,"Planner, Shopper",125,75,165,,,
Omni Shopper,"Senior Producer, Shopper",125,75,165,,,
Omni Shopper,"Sr. Director, Shopper",125,75,165,,,
Omni Shopper,"Account Director, 
Shopper",125,75,165,,,
Omni Shopper,"Account Supervisor, Shopper",125,75,165,,,
Omni Shopper,"Account Manager, Shopper",125,75,165,,,
Omni Shopper,"Account Executive, Shopper",125,75,165,,,
Omni Shopper,"Coordinator, Shopper",125,75,165,,,
Omni Shopper,"Executive Creative Director, Shopper",125,75,165,,,
Omni Shopper,"Creative Director, Shopper",125,75,165,,,
Omni Shopper,"Associate Creative Director, Shopper",125,75,165,,,
Omni Shopper,"Sr. Design Director, Shopper",125,75,165,,,
Omni Shopper,"Art Director, Shopper",125,75,165,,,
Omni Shopper,"Sr. Designer, Shopper",125,75,165,,,
Omni Shopper,"Designer, Shopper",125,75,165,,,
Omni Shopper,"Sr. Strategist, Shopper",125,75,165,,,
Creator,"Coordinator, Creator",125,75,165,,,
Creator,"Specialist, Creator",125,75,165,,,
Creator,"Manager, Creator",125,75,165,,,
Creator,"Supervisor, Creator",125,75,165,,,
Creator,"Associate Director, Creator",125,75,165,,,
Creator,"Director, Creator",125,75,165,,,
Creator,"MD, Creator",125,75,165,,,
Social,"Coordinator, Social",125,75,165,,,
Social,"Specialist, Social",125,75,165,,,
Social,"Manager, Social",125,75,165,,,
Social,"Supervisor, Social",125,75,165,,,
Social,"Associate Director, Social",125,75,165,,,
Social,"Director, Social",125,75,165,,,
Social,"Managing Director, Social",125,75,165,,,
Media,"Coordinator, Media",125,75,165,,,
Media,"Coordinator, SEM",125,75,165,,,
Media,"Executive, Media",125,75,165,,,
Media,"Manager, Media",125,75,165,,,
Media,"Manager, SEM",125,75,165,,,
Media,"Supervisor, Media",125,75,165,,,
Media,"Asc Director, Media",125,75,165,,,
Media,"Director, Media",125,75,165,,,
Media,"VP, Media",125,75,165,,,
Digital,Jr. Developer,125,75,165,,,
Digital,Mid Developer,125,75,165,,,
Digital,Sr. Developer,125,75,165,,,
Digital,UX Designer,125,75,165,,,
Digital,Sr UX Designer,125,75,165,,,
Digital,Jr Digital Project Manager,125,75,165,,,
Digital,Digital Project Manager,125,75,165,,,
Digital,Sr Digital Project Manager,125,75,165,,,
Digital,"Director, Digital",125,75,165,,,
Digital,"VP, Digital ",125,75,165,,,
Digital,"SVP, Digital",125,75,165,,,
Digital,Creative Technologist,125,75,165,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,